ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 115900, 544474, 441374, 558626, 492587, 466307, 533693, 759435, 375335,   1484,CityofTaylorPrecinct1
 131930, 552581, 437858, 562142, 496175, 455066, 544934, 782030, 413960,   1046,CityofGardenCityPrecinct5
 153095, 520814, 465309, 534691, 470860, 484736, 515264, 749770, 402865,   1081,CityofWestlandPrecinct37
 164185, 495335, 487873, 512127, 443097, 502798, 497202, 761190, 425375,   1072,CityofWestlandPrecinct32
 186350, 452029, 531365, 468635, 399446, 541512, 458488, 762915, 449265,   1084,CityofDearbornHeightsPrecinct27
 193520, 413223, 575068, 424932, 358126, 581267, 418733, 775485, 469005,   1452,CityofLincolnParkPrecinct10
 197110, 532152, 455731, 544269, 486486, 470643, 529357, 728330, 425440,   1073,CityofWyandottePrecinct10
 198880, 399159, 592436, 407564, 343137, 596638, 403362, 780110, 478990,    714,CityofDearbornHeightsPrecinct10
 199480, 641622, 341848, 658152, 592787, 353117, 646883, 744175, 443655,   1331,TownshipofSumpterPrecinct6
 202970, 599009, 386138, 613862, 557425, 403960, 596040, 707920, 410890,   1010,CityofTaylorPrecinct16
 208515, 482810, 505231, 494769, 433482, 514200, 485800, 746640, 455155,    669,CityofRomulusPrecinct9
 214915, 520467, 461988, 538012, 478070, 476608, 523392, 711985, 426900,    684,CityofRockwoodPrecinct1
 218310, 262910, 718309, 281691, 220657, 732394, 267606, 711265, 429575,    213,CityofDetroitPrecinct472
 218855, 393605, 583241, 416759, 350606, 596471, 403529, 714995, 433850,    907,CityofMelvindalePrecinct2
 220745, 565602, 419326, 580674, 515070, 424645, 575355, 752660, 473405,   1128,CityofTaylorPrecinct2
 221635, 565762, 414752, 585248, 534446, 439109, 560891, 656580, 378215,   1437,CharterTownshipofBrownstownPrecinct7
 223350, 573549, 419703, 580297, 537112, 438596, 561404, 682185, 405535,    741,CharterTownshipofHuronPrecinct6
 225960, 638055, 342295, 657705, 599793, 358841, 641159, 691310, 417270,   1934,CharterTownshipofHuronPrecinct1
 229575, 201380, 784810, 215190, 155350, 792865, 207135, 730150, 459725,    869,CityofDearbornPrecinct16
 231335, 473831, 506629, 493371, 426378, 512909, 487091, 737265, 468600,   1433,CityofDearbornHeightsPrecinct25
 233205, 528985, 454545, 545455, 486166, 465085, 534915, 714095, 447300,   1518,CityofTaylorPrecinct10
